reference_actor_Q_mean,reference_actor_Q_std,reference_Q_mean,reference_perturbed_action_mean,reference_action_mean,AI_return,rollout/Q_mean,rollout/actions_std,param_noise_stddev,reference_perturbed_action_std,total/episodes,total/epochs,obs_rms_std,reference_Q_std,total/duration,AI_success_rate,obs_rms_mean,train/loss_actor,rollout/return,AI_distance,rollout/episodes,train/param_noise_distance,reference_action_std,rollout/return_history,rollout/actions_mean,train/loss_critic,total/steps_per_second,total/steps,rollout/episode_steps
1273.4422607421875,1168.9630126953125,1256.484619140625,0.2833048403263092,0.27806201577186584,2000.2833160070354,962.129150390625,0.8713504672050476,0.008792626553888941,0.8405553102493286,342.0,33,0.23474766314029694,1176.9456787109375,629.9571216106415,0.008771929824561403,0.45801734924316406,-1191.4569091796875,2000.2833160070354,9.049880532934708,342.0,0.2145543023943901,0.8129876255989075,1541.7284883936713,0.22897662222385406,2716.250244140625,104.76903544046719,66000,192.77777777777777
1268.3477783203125,1156.8428955078125,1248.693115234375,0.15480393171310425,0.26365360617637634,2007.2531305378325,965.0449829101562,0.8707286715507507,0.008619377074687717,0.8072018027305603,353.0,34,0.23425669968128204,1167.3543701171875,649.9779515266418,0.0113314447592068,0.45540907979011536,-1202.36767578125,2007.2531305378325,8.950733301426785,353.0,0.20530236333608629,0.7946755886077881,1543.010497915485,0.225416362285614,4416.53759765625,104.61893336579242,68000,192.53541076487252
1260.06396484375,1142.6220703125,1238.4658203125,0.2772805690765381,0.30965331196784973,2034.032757877705,983.5546264648438,0.8691116571426392,0.009333550263662541,0.8048475980758667,361.0,35,0.23357848823070526,1147.1290283203125,669.1148908138275,0.0110803324099723,0.4568680226802826,-1165.0623779296875,2034.032757877705,8.928399962339526,361.0,0.2013071896135807,0.793902575969696,1542.9525182304094,0.22452124953269958,4544.146484375,104.61581555128862,70000,193.61495844875347
1279.426025390625,1141.2725830078125,1257.078125,0.16200093924999237,0.26805800199508667,2047.470272853471,1001.9363403320312,0.8679525256156921,0.009712529831903797,0.8113006949424744,371.0,36,0.2324076145887375,1144.7176513671875,686.4182462692261,0.01078167115902965,0.458212286233902,-1188.39990234375,2047.470272853471,8.921012625251063,371.0,0.200216463804245,0.803069531917572,1780.4875960041934,0.2272685021162033,4207.38623046875,104.8923165887992,72000,193.73584905660377
1284.3206787109375,1153.676025390625,1266.19189453125,0.27954092621803284,0.2920573055744171,1996.9819417122894,1001.7802124023438,0.8677149415016174,0.00896935834762211,0.8136997222900391,381.0,37,0.23247943818569183,1162.139892578125,707.1680581569672,0.010498687664041995,0.4597581624984741,-1141.4749755859375,1996.9819417122894,9.045684707461847,381.0,0.20443729877471925,0.7955472469329834,1733.3892033854124,0.22536557912826538,2186.468994140625,104.64273540982606,74000,193.96062992125985
1197.2041015625,1164.3118896484375,1180.110107421875,0.25624558329582214,0.23859621584415436,2004.426121791128,1009.2626342773438,0.8671444654464722,0.009712529831903797,0.8388631939888,392.0,38,0.30487242341041565,1172.260009765625,727.7668936252594,0.01020408163265306,0.4603334367275238,-1077.387451171875,2004.426121791128,9.023546949487784,392.0,0.19985224530100823,0.8275752663612366,1877.4362608746267,0.22663402557373047,3462.541259765625,104.42904268620633,76000,193.73214285714286
1217.729736328125,1178.4844970703125,1201.85888671875,0.2493336945772171,0.22235997021198273,1999.815995689498,1013.033447265625,0.866818368434906,0.009712529831903797,0.8343014717102051,406.0,39,0.30317163467407227,1185.266845703125,751.0907926559448,0.009852216748768473,0.4584275782108307,-1105.7354736328125,1999.815995689498,8.932197112231677,406.0,0.20331019341945647,0.8378026485443115,1886.1102181378328,0.22930406033992767,3120.6865234375,103.84896308498588,78000,191.6231527093596
1211.76953125,1201.61083984375,1192.797607421875,0.05331363156437874,0.14103209972381592,2046.6353201843108,1025.071044921875,0.8654400706291199,0.00896935834762211,0.8149312734603882,417.0,40,0.30084070563316345,1207.6923828125,770.7263734340668,0.009592326139088728,0.4590178430080414,-1088.5748291015625,2046.6353201843108,8.825597314907785,417.0,0.19975112915039062,0.8088614344596863,2127.124410791357,0.23096880316734314,3820.629638671875,103.79818669439076,80000,191.65947242206235
1215.3341064453125,1222.0565185546875,1194.4691162109375,0.06428288668394089,0.1726735532283783,2056.287085868057,1029.033935546875,0.8646935820579529,0.009149642450409314,0.7952882051467896,428.0,41,0.29954954981803894,1233.4012451171875,790.7546272277832,0.009345794392523364,0.45856308937072754,-1123.06591796875,2056.287085868057,8.823076681269427,428.0,0.20357478827238082,0.7737923264503479,2210.221951441105,0.22960278391838074,2987.064697265625,103.69841310631907,82000,191.42757009345794
1199.478515625,1250.75634765625,1179.3544921875,0.20150119066238403,0.14985033869743347,2075.974373174136,1039.5035400390625,0.8622555732727051,0.008619377074687717,0.7659732103347778,437.0,42,0.2975883185863495,1261.181396484375,810.7707378864288,0.011441647597254004,0.45872727036476135,-1117.2738037109375,2075.974373174136,8.792659167759972,437.0,0.19709657728672028,0.8031969666481018,2275.9223664400474,0.23176078498363495,3298.48095703125,103.60512050419678,84000,191.41647597254004
1194.873046875,1224.4451904296875,1173.201171875,0.3106588125228882,0.25331586599349976,2067.9908808992313,1038.6385498046875,0.8617857694625854,0.009149642450409314,0.7625388503074646,447.0,43,0.2960919737815857,1232.0406494140625,829.5005402565002,0.011185682326621925,0.45741891860961914,-1145.6729736328125,2067.9908808992313,8.787526011782424,447.0,0.1971334122121334,0.7828602194786072,2209.27212883622,0.23078972101211548,6840.880859375,103.67684627837237,86000,192.39373601789708
1196.037353515625,1270.7000732421875,1171.553955078125,0.2597656846046448,0.18440498411655426,2110.621775171209,1046.9974365234375,0.8610112071037292,0.008449541294664952,0.7718744874000549,455.0,44,0.29566046595573425,1282.8939208984375,849.1370351314545,0.01098901098901099,0.4581526517868042,-1113.5198974609375,2110.621775171209,8.742045220677715,455.0,0.20260332077741622,0.7599800229072571,2471.2000705669902,0.22759820520877838,3943.936279296875,103.63462710865834,88000,193.02857142857144
1176.145751953125,1201.5074462890625,1156.57421875,0.2828974723815918,0.20991119742393494,2090.803956421932,1037.5770263671875,0.8602773547172546,0.009712529831903797,0.7997527718544006,465.0,45,0.29453709721565247,1208.0750732421875,868.1868486404419,0.010752688172043012,0.4577573537826538,-1126.589111328125,2090.803956421932,8.794132693138234,465.0,0.20321442037820817,0.8024060130119324,2277.4729476975094,0.22394171357154846,6638.5693359375,103.66432080944058,90000,193.48602150537636
1212.631103515625,1207.754638671875,1190.0694580078125,0.1318427175283432,0.12983909249305725,2103.677206983093,1047.9505615234375,0.8598534464836121,0.008119843104068908,0.7952828407287598,476.0,46,0.29303494095802307,1211.85205078125,887.661810874939,0.01050420168067227,0.4577420949935913,-1131.1229248046875,2103.677206983093,8.761931495911353,476.0,0.20194572925567628,0.7844284772872925,2367.2520196680416,0.22366364300251007,7382.59375,103.64307540652068,92000,193.2310924369748
1224.6063232421875,1247.8197021484375,1201.8372802734375,0.21915367245674133,0.1038019061088562,2116.4884892629057,1048.9141845703125,0.859764039516449,0.00896935834762211,0.830707848072052,485.0,47,0.2914904057979584,1254.432861328125,907.9301080703735,0.010309278350515464,0.4567638337612152,-1151.193115234375,2116.4884892629057,8.724097874882498,485.0,0.21660465121269226,0.7966915965080261,2626.1996062834514,0.22193320095539093,2942.5234375,103.53219830960168,94000,193.0701030927835
1216.30615234375,1225.6793212890625,1193.503173828125,-0.027033742517232895,0.22641059756278992,2054.9634980766327,1049.698974609375,0.8585037589073181,0.008449541294664952,0.7841511368751526,494.0,48,0.2904216945171356,1235.8800048828125,926.9674899578094,0.010121457489878543,0.45704153180122375,-1131.0986328125,2054.9634980766327,8.832064433251915,494.0,0.1987908038496971,0.7942222356796265,2269.5050168276625,0.21997053921222687,3112.15625,103.56350253919844,96000,193.9655870445344
1204.468505859375,1249.0601806640625,1179.027099609375,0.1216067522764206,0.004680356476455927,2093.7772679647424,1065.1846923828125,0.857590913772583,0.00795985011672278,0.8042299747467041,504.0,49,0.2889546751976013,1253.691162109375,945.7505853176117,0.011904761904761904,0.458548903465271,-1164.1953125,2093.7772679647424,8.838041754131655,504.0,0.2042456892132759,0.7954721450805664,2476.1519317589355,0.21974140405654907,3988.9423828125,103.62140031569595,98000,194.0952380952381
1208.5902099609375,1224.4727783203125,1189.358642578125,0.11114195734262466,0.1616092324256897,2116.1580674878064,1072.8966064453125,0.8569387793540955,0.009149642450409314,0.7692759037017822,514.0,50,0.2875557243824005,1227.720947265625,964.1401760578156,0.01556420233463035,0.4587191343307495,-1191.2685546875,2116.1580674878064,8.7865792551378,514.0,0.1945405387878418,0.7850435376167297,2488.7139815720543,0.21909967064857483,2448.300048828125,103.71935791419962,100000,194.4533073929961
1217.2451171875,1238.2791748046875,1196.3607177734375,0.07344358414411545,0.21433506906032562,2114.470971190799,1076.591064453125,0.8564364314079285,0.008619377074687717,0.7926054000854492,524.0,51,0.2862657606601715,1243.9310302734375,985.0786852836609,0.015267175572519083,0.4583341181278229,-1168.107421875,2114.470971190799,8.779477290900829,524.0,0.20095730125904082,0.7869541049003601,2410.9638874594593,0.21993659436702728,2017.190673828125,103.5450279493443,102000,194.62977099236642
1242.2398681640625,1266.4857177734375,1217.10791015625,0.25619375705718994,0.16881892085075378,2114.2666464646354,1082.2867431640625,0.8560807108879089,0.008792626553888941,0.7409167289733887,532.0,52,0.2847543954849243,1273.862060546875,1003.626562833786,0.015037593984962405,0.45793846249580383,-1197.85888671875,2114.2666464646354,8.757756946427708,532.0,0.20355116963386535,0.7553198337554932,2318.148114672219,0.220429465174675,2664.01220703125,103.62420032641542,104000,195.43233082706766
1216.488037109375,1328.1171875,1193.1883544921875,0.1456456035375595,0.15989592671394348,2085.6960710257335,1073.1795654296875,0.8560730218887329,0.00896935834762211,0.7564529776573181,538.0,53,0.2838732600212097,1334.9644775390625,1022.1839640140533,0.01486988847583643,0.45624232292175293,-1151.50244140625,2085.6960710257335,8.780796433354038,538.0,0.2049100413918495,0.7767549753189087,2233.153786119583,0.2179732471704483,2923.3203125,103.69953328532424,106000,196.84014869888475
1220.248046875,1343.7928466796875,1194.621826171875,0.13834071159362793,0.025557199493050575,2088.6369162148667,1081.0965576171875,0.8552731275558472,0.00795985011672278,0.8267089128494263,548.0,54,0.28268876671791077,1350.485595703125,1039.9739437103271,0.014598540145985401,0.45643875002861023,-1170.8975830078125,2088.6369162148667,8.768072935143245,548.0,0.21450098276138305,0.8007299900054932,2106.542278508758,0.21812941133975983,7589.03564453125,103.84875568582723,108000,196.97992700729927
1177.53955078125,1356.329833984375,1152.573974609375,0.15907801687717438,0.17495493590831757,2086.4932907394973,1084.7855224609375,0.8543880581855774,0.008792626553888941,0.7932927012443542,556.0,55,0.28146395087242126,1362.184814453125,1059.5782623291016,0.014388489208633094,0.45550665259361267,-1161.72216796875,2086.4932907394973,8.730093779992108,556.0,0.20304760500788688,0.7651678919792175,1987.301237101103,0.2176685482263565,2393.115234375,103.81488929208926,110000,197.49640287769785
