rollout/return,rollout/episode_steps,param_noise_stddev,train/loss_critic,train/loss_actor,reference_perturbed_action_std,AI_success_rate,AI_distance,total/epochs,reference_Q_std,train/param_noise_distance,total/duration,total/episodes,reference_Q_mean,obs_rms_std,rollout/episodes,rollout/Q_mean,reference_perturbed_action_mean,total/steps,reference_action_std,obs_rms_mean,total/steps_per_second,AI_return,rollout/actions_std,reference_actor_Q_mean,reference_actor_Q_std,rollout/return_history,rollout/actions_mean,reference_action_mean
-489.63337209925817,83.95286624203821,0.002828017005826892,419.35125732421875,11.03624153137207,0.9035592079162598,0.0012738853503184713,12.52293024667912,33,118.8723373413086,0.19735587120056153,976.0548622608185,785.0,-177.12188720703125,0.12905050814151764,785.0,-96.97232055664062,0.33475348353385925,66000,0.8903335928916931,nan,67.61914985713547,-489.63337209925817,0.8305222988128662,-169.71505737304688,120.79307556152344,-524.1811055571671,0.371783047914505,0.3866206109523773
-495.5137070846397,84.34615384615384,0.002942845836611657,298.5196838378906,12.747476577758789,0.8887674808502197,0.0012406947890818859,12.557334131734256,34,127.3625717163086,0.21070565566420554,1006.9626681804657,806.0,-174.4123992919922,0.1288781762123108,806.0,-94.12960815429688,0.37892580032348633,68000,0.9018323421478271,nan,67.52981232449541,-495.5137070846397,0.8319664597511292,-167.36053466796875,130.1185302734375,-547.8560988840817,0.3682120144367218,0.3612714409828186
-496.1847361162151,84.06610576923077,0.002828017005826892,284.13446044921875,4.62048864364624,0.9239131212234497,0.001201923076923077,12.599994825149167,35,138.92355346679688,0.20507714480161668,1037.75612449646,832.0,-173.2138671875,0.12875226140022278,832.0,-91.98883056640625,0.24284565448760986,70000,0.9236540794372559,nan,67.45322754319123,-496.1847361162151,0.8331723809242249,-166.8540802001953,141.12124633789062,-530.3177856908903,0.3663632869720459,0.3044351637363434
-490.91690730506326,84.28454332552693,0.0030019970379275515,283.17083740234375,-3.2702767848968506,0.914437472820282,0.00117096018735363,12.567570805379104,36,147.2850799560547,0.19804755851626396,1069.1815221309662,854.0,-185.5971221923828,0.1286492794752121,854.0,-86.20208740234375,0.26178768277168274,72000,0.9348447322845459,nan,67.34123112836642,-490.91690730506326,0.8352736234664917,-177.83517456054688,150.46151733398438,-505.1492783086692,0.36316704750061035,0.21327154338359833
-495.29118723067904,84.36187214611873,0.002772293898467691,350.76776123046875,-12.981605529785156,0.8976241946220398,0.001141552511415525,12.590520527299311,37,159.63270568847656,0.19824981182813645,1099.9936590194702,876.0,-184.4468231201172,0.12856966257095337,876.0,-80.87591552734375,0.35970771312713623,74000,0.9029977917671204,nan,67.27311507046622,-495.29118723067904,0.8356884717941284,-177.4701385498047,161.1560821533203,-564.3451822923605,0.36276495456695557,0.32613205909729004
-492.4796958587227,84.53957636566332,0.0030623371783898953,428.8695068359375,-14.53059196472168,0.9228814244270325,0.0011148272017837235,12.584229472666616,38,157.0927734375,0.2018052652478218,1131.8555352687836,897.0,-189.31771850585938,0.12848101556301117,897.0,-76.2389907836914,0.31996607780456543,76000,0.8771432638168335,nan,67.14637834231394,-492.4796958587227,0.8358278870582581,-184.02001953125,161.0683135986328,-520.2830104170855,0.3615359663963318,0.41822659969329834
-495.3665550518262,84.53796095444686,0.0028848601476440124,368.26397705078125,-26.274160385131836,0.919904887676239,0.0010845986984815619,12.626187377635205,39,169.67013549804688,0.21806974470615387,1163.1261959075928,922.0,-185.98892211914062,0.1286098062992096,922.0,-72.56806945800781,0.24542725086212158,78000,0.8834364414215088,nan,67.06065109223702,-495.3665550518262,0.8360096216201782,-178.09490966796875,171.3037872314453,-488.9067354958594,0.3603898882865906,0.3811963200569153
-492.0569864915034,83.73717277486911,0.0028848601476440124,489.63934326171875,-11.329488754272461,0.8611017465591431,0.0010471204188481676,12.658213767574608,40,166.7840576171875,0.19933912187814712,1194.3745791912079,955.0,-196.45184326171875,0.12854470312595367,955.0,-69.04109191894531,0.40866124629974365,80000,0.9060661792755127,nan,66.98066200820637,-492.0569864915034,0.8371989130973816,-190.0443878173828,168.32318115234375,-502.26363100732414,0.3585387170314789,0.34852340817451477
-492.4978390187092,84.18004115226337,0.0030623371783898953,401.3316650390625,-28.33509063720703,0.9173977971076965,0.00102880658436214,12.61921513885044,41,161.31280517578125,0.20216760635375977,1226.3748898506165,972.0,-198.01046752929688,0.12830066680908203,972.0,-64.58031463623047,0.2504669725894928,82000,0.8920461535453796,nan,66.86373039649266,-492.4978390187092,0.8374220728874207,-191.3467559814453,163.1351776123047,-461.458281111403,0.3573896884918213,0.3539292812347412
-500.21595875992426,84.75378405650858,0.002828017005826892,580.7605590820312,-20.510971069335938,0.8775160312652588,0.0010090817356205853,12.628943300937479,42,159.71084594726562,0.21221730023622512,1257.2813611030579,991.0,-198.46475219726562,0.12814942002296448,991.0,-60.005165100097656,0.418947696685791,84000,0.8804758191108704,nan,66.81082102919572,-500.21595875992426,0.8381305932998657,-189.8264617919922,160.15965270996094,-554.4461930626568,0.35600996017456055,0.3578392565250397
